ID,Age,Major,College,Year,Type of High school,85-211,36-309,21-111,21-112,21-120,21-122,21-256,36-201,15-110,85-426,15-122,15-210,15-251,88-120,15-213,15-150,15-112,85-221,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-
40,0,info systems,dietrich,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,100,80,100,0,100,0,100,50,100,0,50,50,100,0,100,50,50,0,50,50,100,0,0,100,100,100,0,0,100,100,0,80,100,100,0,80,0,100,0,100,50,50,0,100,70,30,0,100
41,1,chemE,ciT,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,100,50,100,50,50,50,50,50,80,80,50,50,0,0,50,50,50,50,50,50,20,60,25,75,100,100,0,0,100,100,0,0,100,100,40,60,0,50,0,50,50,50,80,80,30,33,75,75
42,0,statistics,dietrich,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,100,50,100,50,75,25,75,25,75,25,75,25,0,0,50,50,50,50,50,50,60,20,90,80,100,100,0,0,100,100,0,0,50,100,50,70,0,50,0,50,50,50,20,80,33,66,20,80
43,0,cs,scs,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,90,90,90,90,80,90,70,80,50,100,50,50,40,80,50,50,40,40,60,60,50,50,50,50,100,100,80,80,90,80,90,90,80,60,90,80,45,45,20,70,20,10,0,100,0,100,30,100
44,0,cog science,Dietrich,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,100,50,50,50,50,50,50,50,50,50,50,0,50,0,60,60,60,60,60,60,60,60,100,50,100,50,50,50,50,50,50,50,50,50,100,0,100,0,75,75,50,0,75,75,75,75
45,0,Decision Science,Dietrich,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,50,50,50,50,66,33,66,33,75,25,25,75,50,50,50,50,66,33,66,33,25,75,75,25,50,50,50,50,33,66,50,33,100,25,100,100,50,50,50,50,75,25,25,75,75,25,66,33
46,1,computer science,scs,3,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,50,50,50,50,60,40,60,40,95,5,50,50,50,50,50,50,75,25,75,25,0,100,100,0,50,50,50,50,75,25,25,75,95,5,30,70,50,50,50,50,100,0,50,50,75,5,67,33
47,0,chemistry,MCS,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,80,20,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,90,10,50,50,80,20,50,50
48,0,psych,Dietrich,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,50,50,50,50,50,50,100,0,50,50,100,0,50,50
49,0,ECE,CIT,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,50,50,50,50,75,25,75,25,100,0,50,50,50,50,50,50,75,25,75,25,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,0,100,0,75,25,100,0,75,25
50,0,Neuro,mcs,2,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,50,50,50,50,50,50,50,50,90,10,50,50,50,50,50,50,50,50,50,50,10,90,90,10,50,50,50,50,66,33,33,66,66,33,33,66,50,50,50,50,75,25,50,50,90,10,66,33
51,0,ece,CIT,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,50,50,50,50,60,60,60,60,70,66,50,50,50,50,50,50,66,55,66,55,55,50,60,50,75,50,75,50,80,66,50,33,70,65,50,65,50,25,50,25,80,75,50,25,80,75,60,50
52,0,technical writing,Dietrich,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,50,100,50,100,0,100,0,100,0,100,0,100,0,100,0,100,0,0,100,100,0,100,0,100,50,100,50,100,0,100,50
53,0,cog science,Dietrich,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,80,50,50,50,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,50,50,50,50
54,0,mechE,CIT,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100,0,0,100,50,50,50,50,100,0,0,100,50,50,50,50,50,50,50,50,100,0,0,100,50,50,50,50,0,100,100,0,0,100,100,0,50,50,50,50,100,100,0,100,50,50,50,50
55,1,ECE,CIT,2,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,50,50
56,0,biopsychology,mcs,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,50,50,50,70,50,70,100,0,50,50,100,50,50,50,50,20,50,20,0,100,50,80,50,50,50,50,100,0,0,100,100,0,50,100,50,50,50,50,100,0,20,70,100,0,50,30
57,0,cog science,Dietrich,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,50,100,50,40,60,0,80,40,100,50,50,50,80,40,80,50,80,40,80,30,60,100,0,50,50,50,50,50,100,20,20,100,50,30,50,30,50,50,50,50,100,0,10,0,100,0,80,80
58,0,materials science,cit,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,0,50,0,0,100,50,50,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,50,50
59,0,math,mcs,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,50,50,50,50,100,50,75,75,75,65,75,65,50,50,50,50,68,66,68,66,66,50,66,50,50,50,50,50,33,60,50,66,50,60,40,50,60,50,60,50,75,70,60,50,85,80,55,50
60,0,computer science,scs,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,100,0,100,0,100,100,100,100,100,100,100,100,100,50,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,100,0,100,0,100,0,100,0,100,0,100,0
